temps,genotype,fluo,stress
320,nqrfqr1,0.267,control
332,nqrfqr1,0.216,control
346,nqrfqr1,0.184,control
363,nqrfqr1,0.165,control
384,nqrfqr1,0.149,control
408,nqrfqr1,0.133,control
438,nqrfqr1,0.122,control
473,nqrfqr1,0.11,control
515,nqrfqr1,0.098,control
564,nqrfqr1,0.09,control
624,nqrfqr1,0.078,control
696,nqrfqr1,0.075,control
782,nqrfqr1,0.071,control
0,nqrfqr1,0,control
42,nqrfqr1,0,control
62,nqrfqr1,0.078,control
83,nqrfqr1,0.141,control
103,nqrfqr1,0.188,control
123,nqrfqr1,0.227,control
143,nqrfqr1,0.263,control
164,nqrfqr1,0.29,control
184,nqrfqr1,0.31,control
204,nqrfqr1,0.322,control
224,nqrfqr1,0.333,control
245,nqrfqr1,0.341,control
265,nqrfqr1,0.349,control
285,nqrfqr1,0.357,control
306,nqrfqr1,0.365,control
320,nqrfqr1,0.282,control
332,nqrfqr1,0.227,control
346,nqrfqr1,0.196,control
363,nqrfqr1,0.176,control
384,nqrfqr1,0.161,control
408,nqrfqr1,0.145,control
438,nqrfqr1,0.129,control
473,nqrfqr1,0.118,control
515,nqrfqr1,0.106,control
564,nqrfqr1,0.098,control
624,nqrfqr1,0.09,control
696,nqrfqr1,0.086,control
782,nqrfqr1,0.082,control
0,nqrfqr1,0,control
42,nqrfqr1,0,control
62,nqrfqr1,0.063,control
83,nqrfqr1,0.122,control
103,nqrfqr1,0.165,control
123,nqrfqr1,0.204,control
143,nqrfqr1,0.239,control
164,nqrfqr1,0.275,control
184,nqrfqr1,0.294,control
204,nqrfqr1,0.314,control
224,nqrfqr1,0.322,control
245,nqrfqr1,0.325,control
265,nqrfqr1,0.329,control
285,nqrfqr1,0.329,control
306,nqrfqr1,0.329,control
320,nqrfqr1,0.247,control
332,nqrfqr1,0.196,control
346,nqrfqr1,0.165,control
363,nqrfqr1,0.145,control
384,nqrfqr1,0.129,control
408,nqrfqr1,0.118,control
438,nqrfqr1,0.106,control
473,nqrfqr1,0.098,control
515,nqrfqr1,0.09,control
564,nqrfqr1,0.086,control
624,nqrfqr1,0.082,control
696,nqrfqr1,0.078,control
782,nqrfqr1,0.071,control
0,WT,0,chaud
42,WT,0,chaud
62,WT,0.129,chaud
83,WT,0.188,chaud
103,WT,0.208,chaud
123,WT,0.204,chaud
143,WT,0.2,chaud
164,WT,0.196,chaud
184,WT,0.2,chaud
204,WT,0.212,chaud
225,WT,0.231,chaud
245,WT,0.235,chaud
265,WT,0.243,chaud
285,WT,0.251,chaud
306,WT,0.251,chaud
320,WT,0.196,chaud
332,WT,0.161,chaud
346,WT,0.145,chaud
363,WT,0.133,chaud
384,WT,0.118,chaud
408,WT,0.11,chaud
437,WT,0.098,chaud
473,WT,0.09,chaud
515,WT,0.086,chaud
564,WT,0.078,chaud
624,WT,0.075,chaud
696,WT,0.075,chaud
0,WT,0,chaud
42,WT,0,chaud
62,WT,0.129,chaud
83,WT,0.188,chaud
103,WT,0.22,chaud
123,WT,0.227,chaud
143,WT,0.22,chaud
164,WT,0.224,chaud
184,WT,0.224,chaud
204,WT,0.235,chaud
225,WT,0.251,chaud
245,WT,0.263,chaud
265,WT,0.267,chaud
285,WT,0.278,chaud
306,WT,0.282,chaud
320,WT,0.216,chaud
332,WT,0.173,chaud
346,WT,0.153,chaud
363,WT,0.137,chaud
384,WT,0.125,chaud
408,WT,0.11,chaud
437,WT,0.098,chaud
473,WT,0.094,chaud
515,WT,0.086,chaud
564,WT,0.086,chaud
624,WT,0.082,chaud
696,WT,0.078,chaud
0,WT,0,chaud
42,WT,0,chaud
62,WT,0.149,chaud
83,WT,0.212,chaud
103,WT,0.224,chaud
123,WT,0.22,chaud
143,WT,0.208,chaud
164,WT,0.208,chaud
184,WT,0.212,chaud
204,WT,0.227,chaud
225,WT,0.247,chaud
245,WT,0.259,chaud
265,WT,0.267,chaud
285,WT,0.271,chaud
306,WT,0.278,chaud
320,WT,0.208,chaud
332,WT,0.165,chaud
346,WT,0.145,chaud
363,WT,0.129,chaud
384,WT,0.114,chaud
408,WT,0.102,chaud
437,WT,0.094,chaud
473,WT,0.09,chaud
515,WT,0.086,chaud
564,WT,0.082,chaud
624,WT,0.082,chaud
696,WT,0.082,chaud
0,WT,0,chaud
42,WT,0,chaud
62,WT,0.11,chaud
83,WT,0.173,chaud
103,WT,0.196,chaud
123,WT,0.204,chaud
143,WT,0.196,chaud
164,WT,0.2,chaud
184,WT,0.212,chaud
204,WT,0.224,chaud
225,WT,0.235,chaud
245,WT,0.239,chaud
265,WT,0.255,chaud
285,WT,0.263,chaud
306,WT,0.267,chaud
320,WT,0.204,chaud
332,WT,0.173,chaud
346,WT,0.149,chaud
363,WT,0.133,chaud
384,WT,0.122,chaud
408,WT,0.11,chaud
437,WT,0.102,chaud
473,WT,0.094,chaud
515,WT,0.086,chaud
564,WT,0.082,chaud
624,WT,0.078,chaud
696,WT,0.078,chaud
0,nqr,0,chaud
42,nqr,0,chaud
62,nqr,0.106,chaud
83,nqr,0.165,chaud
103,nqr,0.184,chaud
123,nqr,0.188,chaud
143,nqr,0.184,chaud
164,nqr,0.188,chaud
184,nqr,0.192,chaud
204,nqr,0.212,chaud
225,nqr,0.216,chaud
245,nqr,0.224,chaud
265,nqr,0.231,chaud
285,nqr,0.243,chaud
306,nqr,0.243,chaud
320,nqr,0.188,chaud
332,nqr,0.153,chaud
346,nqr,0.141,chaud
363,nqr,0.129,chaud
384,nqr,0.122,chaud
408,nqr,0.11,chaud
437,nqr,0.098,chaud
473,nqr,0.09,chaud
515,nqr,0.086,chaud
564,nqr,0.078,chaud
624,nqr,0.075,chaud
696,nqr,0.071,chaud
0,nqr,0,chaud
42,nqr,0,chaud
62,nqr,0.098,chaud
83,nqr,0.129,chaud
103,nqr,0.161,chaud
123,nqr,0.149,chaud
143,nqr,0.137,chaud
164,nqr,0.125,chaud
184,nqr,0.137,chaud
204,nqr,0.149,chaud
225,nqr,0.165,chaud
245,nqr,0.173,chaud
265,nqr,0.184,chaud
285,nqr,0.184,chaud
306,nqr,0.196,chaud
320,nqr,0.145,chaud
332,nqr,0.122,chaud
346,nqr,0.102,chaud
363,nqr,0.094,chaud
384,nqr,0.09,chaud
408,nqr,0.086,chaud
437,nqr,0.078,chaud
473,nqr,0.075,chaud
515,nqr,0.075,chaud
564,nqr,0.071,chaud
624,nqr,0.067,chaud
696,nqr,0.063,chaud
0,fqr1,0,chaud
42,fqr1,0,chaud
62,fqr1,0.106,chaud
83,fqr1,0.165,chaud
103,fqr1,0.184,chaud
123,fqr1,0.192,chaud
143,fqr1,0.192,chaud
164,fqr1,0.2,chaud
184,fqr1,0.212,chaud
204,fqr1,0.224,chaud
225,fqr1,0.224,chaud
245,fqr1,0.235,chaud
265,fqr1,0.243,chaud
285,fqr1,0.247,chaud
306,fqr1,0.247,chaud
320,fqr1,0.2,chaud
332,fqr1,0.165,chaud
346,fqr1,0.145,chaud
363,fqr1,0.133,chaud
384,fqr1,0.118,chaud
408,fqr1,0.114,chaud
437,fqr1,0.102,chaud
473,fqr1,0.098,chaud
515,fqr1,0.09,chaud
564,fqr1,0.082,chaud
624,fqr1,0.082,chaud
696,fqr1,0.078,chaud
0,nqrfqr1,0,chaud
42,nqrfqr1,0,chaud
62,nqrfqr1,0.141,chaud
83,nqrfqr1,0.18,chaud
103,nqrfqr1,0.204,chaud
123,nqrfqr1,0.212,chaud
143,nqrfqr1,0.208,chaud
164,nqrfqr1,0.208,chaud
184,nqrfqr1,0.22,chaud
204,nqrfqr1,0.227,chaud
225,nqrfqr1,0.243,chaud
245,nqrfqr1,0.259,chaud
265,nqrfqr1,0.271,chaud
285,nqrfqr1,0.282,chaud
306,nqrfqr1,0.29,chaud
320,nqrfqr1,0.22,chaud
332,nqrfqr1,0.176,chaud
346,nqrfqr1,0.149,chaud
363,nqrfqr1,0.133,chaud
384,nqrfqr1,0.114,chaud
408,nqrfqr1,0.106,chaud
437,nqrfqr1,0.094,chaud
473,nqrfqr1,0.09,chaud
515,nqrfqr1,0.082,chaud
564,nqrfqr1,0.078,chaud
624,nqrfqr1,0.078,chaud
696,nqrfqr1,0.075,chaud
0,WT,0,froid
42,WT,0,froid
63,WT,0.141,froid
83,WT,0.239,froid
103,WT,0.306,froid
124,WT,0.349,froid
144,WT,0.365,froid
164,WT,0.361,froid
184,WT,0.349,froid
204,WT,0.349,froid
225,WT,0.357,froid
245,WT,0.365,froid
265,WT,0.373,froid
286,WT,0.38,froid
306,WT,0.384,froid
320,WT,0.302,froid
332,WT,0.255,froid
346,WT,0.118,froid
365,WT,0.196,froid
384,WT,0.176,froid
408,WT,0.157,froid
438,WT,0.145,froid
473,WT,0.133,froid
515,WT,0.125,froid
564,WT,0.122,froid
624,WT,0.118,froid
696,WT,0.114,froid
782,WT,0.114,froid
0,WT,0,froid
42,WT,0,froid
63,WT,0.133,froid
83,WT,0.22,froid
103,WT,0.278,froid
124,WT,0.318,froid
144,WT,0.322,froid
164,WT,0.318,froid
184,WT,0.306,froid
204,WT,0.306,froid
225,WT,0.318,froid
245,WT,0.329,froid
265,WT,0.337,froid
286,WT,0.341,froid
306,WT,0.353,froid
320,WT,0.278,froid
332,WT,0.231,froid
346,WT,0.098,froid
365,WT,0.176,froid
384,WT,0.153,froid
408,WT,0.133,froid
438,WT,0.122,froid
473,WT,0.114,froid
515,WT,0.106,froid
564,WT,0.098,froid
624,WT,0.098,froid
696,WT,0.094,froid
782,WT,0.09,froid
0,WT,0,froid
42,WT,0,froid
63,WT,0.102,froid
83,WT,0.176,froid
103,WT,0.227,froid
124,WT,0.267,froid
144,WT,0.286,froid
164,WT,0.286,froid
184,WT,0.282,froid
204,WT,0.286,froid
225,WT,0.294,froid
245,WT,0.302,froid
265,WT,0.306,froid
286,WT,0.314,froid
306,WT,0.322,froid
320,WT,0.259,froid
332,WT,0.216,froid
346,WT,0.09,froid
365,WT,0.165,froid
384,WT,0.145,froid
408,WT,0.125,froid
438,WT,0.114,froid
473,WT,0.106,froid
515,WT,0.098,froid
564,WT,0.094,froid
624,WT,0.09,froid
696,WT,0.086,froid
782,WT,0.086,froid
0,nqr,0,froid
42,nqr,0,froid
63,nqr,0.129,froid
83,nqr,0.22,froid
103,nqr,0.278,froid
124,nqr,0.302,froid
144,nqr,0.294,froid
164,nqr,0.286,froid
184,nqr,0.29,froid
204,nqr,0.306,froid
225,nqr,0.318,froid
245,nqr,0.329,froid
265,nqr,0.341,froid
286,nqr,0.353,froid
306,nqr,0.357,froid
320,nqr,0.267,froid
332,nqr,0.216,froid
346,nqr,0.086,froid
365,nqr,0.165,froid
384,nqr,0.145,froid
408,nqr,0.133,froid
438,nqr,0.122,froid
473,nqr,0.118,froid
515,nqr,0.114,froid
564,nqr,0.11,froid
624,nqr,0.11,froid
696,nqr,0.11,froid
782,nqr,0.11,froid
0,nqr,0,froid
42,nqr,0,froid
63,nqr,0.129,froid
83,nqr,0.22,froid
103,nqr,0.278,froid
124,nqr,0.302,froid
144,nqr,0.294,froid
164,nqr,0.286,froid
184,nqr,0.29,froid
204,nqr,0.306,froid
225,nqr,0.318,froid
245,nqr,0.329,froid
265,nqr,0.341,froid
286,nqr,0.353,froid
306,nqr,0.357,froid
320,nqr,0.267,froid
332,nqr,0.216,froid
346,nqr,0.086,froid
365,nqr,0.165,froid
384,nqr,0.145,froid
408,nqr,0.133,froid
438,nqr,0.122,froid
473,nqr,0.118,froid
515,nqr,0.114,froid
564,nqr,0.11,froid
624,nqr,0.11,froid
696,nqr,0.11,froid
782,nqr,0.11,froid
0,nqr,0,froid
42,nqr,0,froid
63,nqr,0.118,froid
83,nqr,0.18,froid
103,nqr,0.216,froid
124,nqr,0.239,froid
144,nqr,0.259,froid
164,nqr,0.267,froid
184,nqr,0.263,froid
204,nqr,0.267,froid
225,nqr,0.271,froid
245,nqr,0.271,froid
265,nqr,0.278,froid
286,nqr,0.278,froid
306,nqr,0.282,froid
320,nqr,0.22,froid
332,nqr,0.18,froid
346,nqr,0.063,froid
365,nqr,0.133,froid
384,nqr,0.122,froid
408,nqr,0.106,froid
438,nqr,0.098,froid
473,nqr,0.09,froid
515,nqr,0.082,froid
564,nqr,0.082,froid
624,nqr,0.075,froid
696,nqr,0.071,froid
782,nqr,0.067,froid
0,nqr,0,froid
42,nqr,0,froid
63,nqr,0.114,froid
83,nqr,0.208,froid
103,nqr,0.267,froid
124,nqr,0.314,froid
144,nqr,0.333,froid
164,nqr,0.329,froid
184,nqr,0.325,froid
204,nqr,0.329,froid
225,nqr,0.333,froid
245,nqr,0.337,froid
265,nqr,0.349,froid
286,nqr,0.349,froid
306,nqr,0.357,froid
320,nqr,0.294,froid
332,nqr,0.243,froid
346,nqr,0.102,froid
365,nqr,0.176,froid
384,nqr,0.153,froid
408,nqr,0.133,froid
438,nqr,0.122,froid
473,nqr,0.11,froid
515,nqr,0.102,froid
564,nqr,0.094,froid
624,nqr,0.09,froid
696,nqr,0.086,froid
782,nqr,0.078,froid
0,fqr1,0,froid
42,fqr1,0,froid
62,fqr1,0.106,froid
83,fqr1,0.192,froid
103,fqr1,0.255,froid
123,fqr1,0.286,froid
143,fqr1,0.29,froid
164,fqr1,0.282,froid
184,fqr1,0.275,froid
204,fqr1,0.278,froid
225,fqr1,0.286,froid
245,fqr1,0.294,froid
265,fqr1,0.302,froid
285,fqr1,0.31,froid
305,fqr1,0.314,froid
320,fqr1,0.243,froid
332,fqr1,0.204,froid
346,fqr1,0.086,froid
363,fqr1,0.157,froid
383,fqr1,0.141,froid
408,fqr1,0.125,froid
437,fqr1,0.118,froid
473,fqr1,0.11,froid
515,fqr1,0.106,froid
564,fqr1,0.102,froid
624,fqr1,0.102,froid
696,fqr1,0.102,froid
0,fqr1,0,froid
42,fqr1,0,froid
62,fqr1,0.137,froid
83,fqr1,0.224,froid
103,fqr1,0.271,froid
123,fqr1,0.278,froid
143,fqr1,0.267,froid
164,fqr1,0.255,froid
184,fqr1,0.251,froid
204,fqr1,0.263,froid
225,fqr1,0.267,froid
245,fqr1,0.278,froid
265,fqr1,0.278,froid
285,fqr1,0.278,froid
305,fqr1,0.282,froid
320,fqr1,0.224,froid
332,fqr1,0.188,froid
346,fqr1,0.075,froid
363,fqr1,0.145,froid
383,fqr1,0.129,froid
408,fqr1,0.118,froid
437,fqr1,0.114,froid
473,fqr1,0.106,froid
515,fqr1,0.102,froid
564,fqr1,0.102,froid
624,fqr1,0.102,froid
696,fqr1,0.098,froid
0,fqr1,0,froid
42,fqr1,0,froid
62,fqr1,0.133,froid
83,fqr1,0.224,froid
103,fqr1,0.278,froid
123,fqr1,0.298,froid
143,fqr1,0.294,froid
164,fqr1,0.294,froid
184,fqr1,0.298,froid
204,fqr1,0.31,froid
225,fqr1,0.318,froid
245,fqr1,0.337,froid
265,fqr1,0.345,froid
285,fqr1,0.353,froid
305,fqr1,0.357,froid
320,fqr1,0.275,froid
332,fqr1,0.22,froid
346,fqr1,0.09,froid
363,fqr1,0.161,froid
383,fqr1,0.141,froid
408,fqr1,0.125,froid
437,fqr1,0.118,froid
473,fqr1,0.11,froid
515,fqr1,0.106,froid
564,fqr1,0.102,froid
624,fqr1,0.102,froid
696,fqr1,0.098,froid
0,fqr1,0,froid
42,fqr1,0,froid
62,fqr1,0.118,froid
83,fqr1,0.192,froid
103,fqr1,0.247,froid
123,fqr1,0.294,froid
143,fqr1,0.314,froid
164,fqr1,0.314,froid
184,fqr1,0.314,froid
204,fqr1,0.314,froid
225,fqr1,0.314,froid
245,fqr1,0.318,froid
265,fqr1,0.325,froid
285,fqr1,0.329,froid
305,fqr1,0.341,froid
320,fqr1,0.271,froid
332,fqr1,0.224,froid
346,fqr1,0.094,froid
363,fqr1,0.165,froid
383,fqr1,0.145,froid
408,fqr1,0.129,froid
437,fqr1,0.114,froid
473,fqr1,0.106,froid
515,fqr1,0.098,froid
564,fqr1,0.094,froid
624,fqr1,0.094,froid
696,fqr1,0.09,froid
0,nqrfqr1,0,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0.11,froid
83,nqrfqr1,0.204,froid
103,nqrfqr1,0.263,froid
123,nqrfqr1,0.29,froid
143,nqrfqr1,0.29,froid
164,nqrfqr1,0.282,froid
184,nqrfqr1,0.278,froid
204,nqrfqr1,0.282,froid
225,nqrfqr1,0.286,froid
245,nqrfqr1,0.294,froid
265,nqrfqr1,0.298,froid
285,nqrfqr1,0.294,froid
305,nqrfqr1,0.302,froid
320,nqrfqr1,0.231,froid
332,nqrfqr1,0.196,froid
346,nqrfqr1,0.082,froid
363,nqrfqr1,0.153,froid
383,nqrfqr1,0.137,froid
408,nqrfqr1,0.122,froid
437,nqrfqr1,0.11,froid
473,nqrfqr1,0.102,froid
515,nqrfqr1,0.094,froid
564,nqrfqr1,0.09,froid
624,nqrfqr1,0.086,froid
696,nqrfqr1,0.082,froid
0,nqrfqr1,0,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0.122,froid
83,nqrfqr1,0.184,froid
103,nqrfqr1,0.227,froid
123,nqrfqr1,0.263,froid
143,nqrfqr1,0.282,froid
164,nqrfqr1,0.282,froid
184,nqrfqr1,0.286,froid
204,nqrfqr1,0.294,froid
225,nqrfqr1,0.302,froid
245,nqrfqr1,0.31,froid
265,nqrfqr1,0.318,froid
285,nqrfqr1,0.325,froid
305,nqrfqr1,0.333,froid
320,nqrfqr1,0.259,froid
332,nqrfqr1,0.216,froid
346,nqrfqr1,0.09,froid
363,nqrfqr1,0.161,froid
383,nqrfqr1,0.141,froid
408,nqrfqr1,0.122,froid
437,nqrfqr1,0.114,froid
473,nqrfqr1,0.102,froid
515,nqrfqr1,0.098,froid
564,nqrfqr1,0.094,froid
624,nqrfqr1,0.09,froid
696,nqrfqr1,0.086,froid
0,nqrfqr1,0,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0.149,froid
83,nqrfqr1,0.212,froid
103,nqrfqr1,0.239,froid
123,nqrfqr1,0.251,froid
143,nqrfqr1,0.255,froid
164,nqrfqr1,0.259,froid
184,nqrfqr1,0.263,froid
204,nqrfqr1,0.282,froid
225,nqrfqr1,0.294,froid
245,nqrfqr1,0.31,froid
265,nqrfqr1,0.322,froid
285,nqrfqr1,0.325,froid
305,nqrfqr1,0.337,froid
320,nqrfqr1,0.267,froid
332,nqrfqr1,0.231,froid
346,nqrfqr1,0.102,froid
363,nqrfqr1,0.184,froid
383,nqrfqr1,0.165,froid
408,nqrfqr1,0.149,froid
437,nqrfqr1,0.141,froid
473,nqrfqr1,0.129,froid
515,nqrfqr1,0.122,froid
564,nqrfqr1,0.114,froid
624,nqrfqr1,0.106,froid
696,nqrfqr1,0.102,froid
0,nqrfqr1,0,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0.153,froid
83,nqrfqr1,0.255,froid
103,nqrfqr1,0.31,froid
123,nqrfqr1,0.322,froid
143,nqrfqr1,0.314,froid
164,nqrfqr1,0.298,froid
184,nqrfqr1,0.294,froid
204,nqrfqr1,0.298,froid
225,nqrfqr1,0.31,froid
245,nqrfqr1,0.322,froid
265,nqrfqr1,0.333,froid
285,nqrfqr1,0.341,froid
305,nqrfqr1,0.345,froid
320,nqrfqr1,0.255,froid
332,nqrfqr1,0.2,froid
346,nqrfqr1,0.078,froid
363,nqrfqr1,0.149,froid
383,nqrfqr1,0.133,froid
408,nqrfqr1,0.118,froid
437,nqrfqr1,0.114,froid
473,nqrfqr1,0.11,froid
515,nqrfqr1,0.106,froid
564,nqrfqr1,0.106,froid
624,nqrfqr1,0.106,froid
696,nqrfqr1,0.106,froid
